date,time,players
09-30,06:00:00,33638
09-30,07:00:00,36908
09-30,08:00:00,41214
09-30,09:00:00,45238
09-30,10:00:00,49929
09-30,11:00:00,56145
09-30,12:00:00,63329
09-30,13:00:00,69176
09-30,14:00:00,73139
09-30,15:00:00,75220
09-30,16:00:00,75680
09-30,17:00:00,75455
09-30,18:00:00,74614
09-30,19:00:00,70006
09-30,20:00:00,60619
09-30,21:00:00,49952
09-30,22:00:00,40918
09-30,23:00:00,35237
10-01,00:00:00,31556
10-01,01:00:00,30160
10-01,02:00:00,29575
10-01,03:00:00,28933
10-01,04:00:00,30294
10-01,05:00:00,33356
10-01,06:00:00,37142
10-01,07:00:00,41028
10-01,08:00:00,44184
10-01,09:00:00,47089
10-01,10:00:00,51688
10-01,11:00:00,57929
10-01,12:00:00,64988
10-01,13:00:00,70947
10-01,14:00:00,74257
10-01,15:00:00,75568
10-01,16:00:00,75835
10-01,17:00:00,75711
10-01,18:00:00,74169
10-01,19:00:00,69825
10-01,20:00:00,60552
10-01,21:00:00,49860
10-01,22:00:00,41510
10-01,23:00:00,35636
10-02,00:00:00,31983
10-02,01:00:00,30691
10-02,02:00:00,30262
10-02,03:00:00,29487
10-02,04:00:00,31048
10-02,05:00:00,34174
10-02,06:00:00,37938
10-02,07:00:00,41923
10-02,08:00:00,46036
10-02,09:00:00,49764
10-02,10:00:00,54017
10-02,11:00:00,59746
10-02,12:00:00,66373
10-02,13:00:00,72072
10-02,14:00:00,75778
10-02,15:00:00,77172
10-02,16:00:00,77172
10-02,17:00:00,77065
10-02,18:00:00,75947
10-02,19:00:00,71795
10-02,20:00:00,63556
10-02,21:00:00,53023
10-02,22:00:00,44001
10-02,23:00:00,37760
10-03,00:00:00,33403
10-03,01:00:00,31788
10-03,02:00:00,31311
10-03,03:00:00,30928
10-03,04:00:00,32486
10-03,05:00:00,35705
10-03,06:00:00,40179
10-03,07:00:00,44901
10-03,08:00:00,49824
10-03,09:00:00,54456
10-03,10:00:00,59586
10-03,11:00:00,65896
10-03,12:00:00,72051
10-03,13:00:00,76784
10-03,14:00:00,79367
10-03,15:00:00,79837
10-03,16:00:00,79627
10-03,17:00:00,79367
10-03,18:00:00,78047
10-03,19:00:00,75172
10-03,20:00:00,69083
10-03,21:00:00,60361
10-03,22:00:00,50789
10-03,23:00:00,43336
10-04,00:00:00,37275
10-04,01:00:00,34719
10-04,02:00:00,33773
10-04,03:00:00,34114
10-04,04:00:00,36071
10-04,05:00:00,40145
10-04,06:00:00,45806
10-04,07:00:00,53025
10-04,08:00:00,59702
10-04,09:00:00,64814
10-04,10:00:00,69470
10-04,11:00:00,74053
10-04,12:00:00,78304
10-04,13:00:00,82215
10-04,14:00:00,84642
10-04,15:00:00,84774
10-04,16:00:00,84701
10-04,17:00:00,83191
10-04,18:00:00,82208
10-04,19:00:00,79514
10-04,20:00:00,75271
10-04,21:00:00,68195
10-04,22:00:00,58996
10-04,23:00:00,49572
10-05,00:00:00,42016
10-05,01:00:00,37637
10-05,02:00:00,36060
10-05,03:00:00,35970
10-05,04:00:00,38067
10-05,05:00:00,41918
10-05,06:00:00,47729
10-05,07:00:00,55320
10-05,08:00:00,63339
10-05,09:00:00,69511
10-05,10:00:00,75777
10-05,11:00:00,81569
10-05,12:00:00,86579
10-05,13:00:00,89966
10-05,14:00:00,91615
10-05,15:00:00,91906
10-05,16:00:00,91523
10-05,17:00:00,89530
10-05,18:00:00,86753
10-05,19:00:00,81282
10-05,20:00:00,71000
10-05,21:00:00,58802
10-05,22:00:00,48443
10-05,23:00:00,41144
10-06,00:00:00,36125
10-06,01:00:00,33617
10-06,02:00:00,32748
10-06,03:00:00,31645
10-06,04:00:00,32503
10-06,05:00:00,35822
10-06,06:00:00,39815
10-06,07:00:00,43646
10-06,08:00:00,47077
10-06,09:00:00,50026
10-06,10:00:00,54220
10-06,11:00:00,60601
10-06,12:00:00,68222
10-06,13:00:00,74737
10-06,14:00:00,78653
10-06,15:00:00,80419
10-06,16:00:00,80667
10-06,17:00:00,80641
10-06,18:00:00,78994
10-06,19:00:00,74509
10-06,20:00:00,65189
10-06,21:00:00,53623
10-06,22:00:00,44054
10-06,23:00:00,37372
10-07,00:00:00,33217
10-07,01:00:00,31388
10-07,02:00:00,30451
10-07,03:00:00,29646
10-07,04:00:00,31171
10-07,05:00:00,33223
10-07,06:00:00,33971
10-07,07:00:00,41175
10-07,08:00:00,45479
10-07,09:00:00,49301
10-07,10:00:00,53614
10-07,11:00:00,59326
10-07,12:00:00,66560
10-07,13:00:00,72629
10-07,14:00:00,76584
10-07,15:00:00,78555
10-07,16:00:00,78492
10-07,17:00:00,75611
10-07,18:00:00,75609
10-07,19:00:00,72702
10-07,20:00:00,64026
10-07,21:00:00,52726
10-07,22:00:00,43244
10-07,23:00:00,36922
10-08,00:00:00,32992
10-08,01:00:00,31050
10-08,02:00:00,30427
10-08,03:00:00,29891
10-08,04:00:00,31103
10-08,05:00:00,34083
10-08,06:00:00,37865
10-08,07:00:00,41889
10-08,08:00:00,45608
10-08,09:00:00,48447
10-08,10:00:00,52933
10-08,11:00:00,59062
10-08,12:00:00,66480
10-08,13:00:00,72842
10-08,14:00:00,76107
10-08,15:00:00,76605
10-08,16:00:00,76685
10-08,17:00:00,76653
10-08,18:00:00,76006
10-08,19:00:00,71952
10-08,20:00:00,63389
10-08,21:00:00,52471
10-08,22:00:00,43382
10-08,23:00:00,36913
10-09,00:00:00,32582
10-09,01:00:00,30786
10-09,02:00:00,29385
10-09,03:00:00,28074
10-09,04:00:00,29887
10-09,05:00:00,31563
10-09,06:00:00,34787
10-09,07:00:00,38726
10-09,08:00:00,43150
10-09,09:00:00,47314
10-09,10:00:00,52389
10-09,11:00:00,58936
10-09,12:00:00,66162
10-09,13:00:00,72661
10-09,14:00:00,75551
10-09,15:00:00,76113
10-09,16:00:00,76135
10-09,17:00:00,76348
10-09,18:00:00,75884
10-09,19:00:00,71792
10-09,20:00:00,63287
10-09,21:00:00,52743
10-09,22:00:00,43837
10-09,23:00:00,37377
10-10,00:00:00,32970
10-10,01:00:00,30667
10-10,02:00:00,29575
10-10,03:00:00,28719
10-10,04:00:00,30777
10-10,05:00:00,32615
10-10,06:00:00,35989
10-10,07:00:00,39887
10-10,08:00:00,44380
10-10,09:00:00,48649
10-10,10:00:00,53567
10-10,11:00:00,61014
10-10,12:00:00,69428
10-10,13:00:00,75716
10-10,14:00:00,78353
10-10,15:00:00,78295
10-10,16:00:00,77726
10-10,17:00:00,77499
10-10,18:00:00,76848
10-10,19:00:00,75375
10-10,20:00:00,70769
10-10,21:00:00,62633
10-10,22:00:00,53387
10-10,23:00:00,44789
10-11,00:00:00,38345
10-11,01:00:00,34719
10-11,02:00:00,32746
10-11,03:00:00,32476
10-11,04:00:00,34666
10-11,05:00:00,37637
10-11,06:00:00,42606
10-11,07:00:00,49165
10-11,08:00:00,56363
10-11,09:00:00,63101
10-11,10:00:00,68678
10-11,11:00:00,73978
10-11,12:00:00,79514
10-11,13:00:00,84069
10-11,14:00:00,86831
10-11,15:00:00,86951
10-11,16:00:00,85961
10-11,17:00:00,84376
10-11,18:00:00,82962
10-11,19:00:00,79455
10-11,20:00:00,75564
10-11,21:00:00,68720
10-11,22:00:00,59250
10-11,23:00:00,49970
10-12,00:00:00,42049
10-12,01:00:00,37603
10-12,02:00:00,35984
10-12,03:00:00,36687
10-12,04:00:00,39089
10-12,05:00:00,43053
10-12,06:00:00,49215
10-12,07:00:00,56502
10-12,08:00:00,64559
10-12,09:00:00,70843
10-12,10:00:00,76152
10-12,11:00:00,82211
10-12,12:00:00,87837
10-12,13:00:00,91604
10-12,14:00:00,91979
10-12,15:00:00,91600
10-12,16:00:00,89128
10-12,17:00:00,86850
10-12,18:00:00,85185
10-12,19:00:00,80814
10-12,20:00:00,70819
10-12,21:00:00,60031
10-12,22:00:00,49225
10-12,23:00:00,41457
10-13,00:00:00,36365
10-13,01:00:00,33486
10-13,02:00:00,31468
10-13,03:00:00,29623
10-13,04:00:00,30322
10-13,05:00:00,30984
10-13,06:00:00,33410
10-13,07:00:00,37386
10-13,08:00:00,42040
10-13,09:00:00,46570
10-13,10:00:00,51757
10-13,11:00:00,58435
10-13,12:00:00,67070
10-13,13:00:00,74987
10-13,14:00:00,78883
10-13,15:00:00,79211
10-13,16:00:00,79698
10-13,17:00:00,79786
10-13,18:00:00,79077
10-13,19:00:00,75479
10-13,20:00:00,67035
10-13,21:00:00,56184
10-13,22:00:00,46042
10-13,23:00:00,37806
10-13,23:10:00,37066
10-13,23:20:00,36289
10-13,23:30:00,35714
10-13,23:40:00,35240
10-13,23:50:00,34725
10-14,00:00:00,34135
10-14,00:10:00,33357
10-14,00:20:00,33021
10-14,00:30:00,32712
10-14,00:40:00,32496
10-14,00:50:00,32242
10-14,01:00:00,31889
10-14,01:10:00,31444
10-14,01:20:00,31152
10-14,01:30:00,30874
10-14,01:40:00,30581
10-14,01:50:00,30184
10-14,02:00:00,29848
10-14,02:10:00,29507
10-14,02:20:00,29314
10-14,02:30:00,28912
10-14,02:40:00,28616
10-14,02:50:00,28581
10-14,03:00:00,28183
10-14,03:10:00,27723
10-14,03:20:00,27593
10-14,03:30:00,27565
10-14,03:40:00,27336
10-14,03:50:00,27340
10-14,04:00:00,27369
10-14,04:10:00,27525
10-14,04:20:00,28046
10-14,04:30:00,28462
10-14,04:40:00,28759
10-14,04:50:00,29248
10-14,05:00:00,29485
10-14,05:10:00,29648
10-14,05:20:00,29944
10-14,05:30:00,30083
10-14,05:40:00,30356
10-14,05:50:00,30571
10-14,06:00:00,30949
10-14,06:10:00,31315
10-14,06:20:00,31785
10-14,06:30:00,32311
10-14,06:40:00,32831
10-14,06:50:00,33257
10-14,07:00:00,34010
10-14,07:10:00,34608
10-14,07:20:00,35141
10-14,07:30:00,35580
10-14,07:40:00,36524
10-14,07:50:00,37306
10-14,08:00:00,38056
10-14,08:10:00,38921
10-14,08:20:00,39667
10-14,08:30:00,40533
10-14,08:40:00,41415
10-14,08:50:00,42218
10-14,09:00:00,42998
10-14,09:10:00,43772
10-14,09:20:00,44759
10-14,09:30:00,45589
10-14,09:40:00,46415
10-14,09:50:00,47023
10-14,10:00:00,47827
10-14,10:10:00,48643
10-14,10:20:00,49448
10-14,10:30:00,50468
10-14,10:40:00,51372
10-14,10:50:00,52098
10-14,11:00:00,52849
10-14,11:10:00,53776
10-14,11:20:00,54930
10-14,11:30:00,56293
10-14,11:40:00,57517
10-14,11:50:00,58850
10-14,12:00:00,60104
10-14,12:10:00,61082
10-14,12:20:00,62512
10-14,12:30:00,63733
10-14,12:40:00,64930
10-14,12:50:00,66138
10-14,13:00:00,67507
10-14,13:10:00,68734
10-14,13:20:00,69943
10-14,13:30:00,70945
10-14,13:40:00,71997
10-14,13:50:00,72810
10-14,14:00:00,73629
10-14,14:10:00,74251
10-14,14:20:00,74949
10-14,14:30:00,75520
10-14,14:40:00,75874
10-14,14:50:00,76231
10-14,15:00:00,76395
10-14,15:10:00,76167
10-14,15:20:00,76161
10-14,15:30:00,76494
10-14,15:40:00,76690
10-14,15:50:00,76976
10-14,16:00:00,77114
10-14,16:10:00,76943
10-14,16:20:00,77148
10-14,16:30:00,77224
10-14,16:40:00,77319
10-14,16:50:00,77380
10-14,17:00:00,77547
10-14,17:10:00,77577
10-14,17:20:00,77298
10-14,17:30:00,77404
10-14,17:40:00,77307
10-14,17:50:00,77291
10-14,18:00:00,77129
10-14,18:10:00,76884
10-14,18:20:00,76156
10-14,18:30:00,75465
10-14,18:40:00,74845
10-14,18:50:00,74116
10-14,19:00:00,73497
10-14,19:10:00,71993
10-14,19:20:00,70452
10-14,19:30:00,69073
10-14,19:40:00,67670
10-14,19:50:00,66235
10-14,20:00:00,64515
10-14,20:10:00,62399
10-14,20:20:00,60413
10-14,20:30:00,58745
10-14,20:40:00,57039
10-14,20:50:00,55370
10-14,21:00:00,53607
10-14,21:10:00,51685
10-14,21:20:00,50131
10-14,21:30:00,48590
10-14,21:40:00,46950
10-14,21:50:00,45552
10-14,22:00:00,44311
10-14,22:10:00,40662
10-14,22:20:00,41190
10-14,22:30:00,40076
10-14,22:40:00,39123
10-14,22:50:00,38437
10-14,23:00:00,37690
10-14,23:10:00,36877
10-14,23:20:00,36048
10-14,23:30:00,35278
10-14,23:40:00,34550
10-14,23:50:00,34080
10-15,00:00:00,33632
10-15,00:10:00,32802
10-15,00:20:00,32437
10-15,00:30:00,32072
10-15,00:40:00,31812
10-15,00:50:00,31505
10-15,01:00:00,31135
10-15,01:10:00,30826
10-15,01:20:00,30539
10-15,01:30:00,30412
10-15,01:40:00,30217
10-15,01:50:00,29908
10-15,02:00:00,29794
10-15,02:10:00,29465
10-15,02:20:00,29128
10-15,02:30:00,28974
10-15,02:40:00,28835
10-15,02:50:00,28595
10-15,03:00:00,28468
10-15,03:10:00,27861
10-15,03:20:00,27612
10-15,03:30:00,27594
10-15,03:40:00,27596
10-15,03:50:00,27584
10-15,04:00:00,27559
10-15,04:10:00,27634
10-15,04:20:00,28088
10-15,04:30:00,28485
10-15,04:40:00,28848
10-15,04:50:00,29141
10-15,05:00:00,29369
10-15,05:10:00,29580
10-15,05:20:00,29853
10-15,05:30:00,30157
10-15,05:40:00,30389
10-15,05:50:00,30528
10-15,06:00:00,30821
10-15,06:10:00,31188
10-15,06:20:00,31726
10-15,06:30:00,31953
10-15,06:40:00,32480
10-15,06:50:00,33182
10-15,07:00:00,33769
10-15,07:10:00,34361
10-15,07:20:00,34980
10-15,07:30:00,35620
10-15,07:40:00,36364
10-15,07:50:00,36974
10-15,08:00:00,37683
10-15,08:10:00,38362
10-15,08:20:00,38952
10-15,08:30:00,39686
10-15,08:40:00,40526
10-15,08:50:00,41128
10-15,09:00:00,41639
10-15,09:10:00,42374
10-15,09:20:00,43171
10-15,09:30:00,43739
10-15,09:40:00,44301
10-15,09:50:00,44993
10-15,10:00:00,45827
10-15,10:10:00,46510
10-15,10:20:00,47519
10-15,10:30:00,48247
10-15,10:40:00,49262
10-15,10:50:00,50175
10-15,11:00:00,51023
10-15,11:10:00,51810
10-15,11:20:00,53069
10-15,11:30:00,54345
10-15,11:40:00,55716
10-15,11:50:00,57016
10-15,12:00:00,58276
10-15,12:10:00,59669
10-15,12:20:00,61082
10-15,12:30:00,62488
10-15,12:40:00,63753
10-15,12:50:00,65093
10-15,13:00:00,66430
10-15,13:10:00,67878
10-15,13:20:00,69146
10-15,13:30:00,70429
10-15,13:40:00,71437
10-15,13:50:00,72459
10-15,14:00:00,73120
10-15,14:10:00,73993
10-15,14:20:00,74779
10-15,14:30:00,75272
10-15,14:40:00,75732
10-15,14:50:00,76167
10-15,15:00:00,76366
10-15,15:10:00,76034
10-15,15:20:00,75981
10-15,15:30:00,76110
10-15,15:40:00,76175
10-15,15:50:00,76317
10-15,16:00:00,76190
10-15,16:10:00,75867
10-15,16:20:00,75748
10-15,16:30:00,75828
10-15,16:40:00,75818
10-15,16:50:00,76032
10-15,17:00:00,76096
10-15,17:10:00,76097
10-15,17:20:00,75989
10-15,17:30:00,76055
10-15,17:40:00,75987
10-15,17:50:00,75343
10-15,18:00:00,75248
10-15,18:10:00,74822
10-15,18:20:00,74367
10-15,18:30:00,73730
10-15,18:40:00,72928
10-15,18:50:00,72155
10-15,19:00:00,71402
10-15,19:10:00,70165
10-15,19:20:00,68907
10-15,19:30:00,67698
10-15,19:40:00,66442
10-15,19:50:00,65180
10-15,20:00:00,63549
10-15,20:10:00,61699
10-15,20:20:00,60245
10-15,20:30:00,58636
10-15,20:40:00,56993
10-15,20:50:00,55488
10-15,21:00:00,53936
10-15,21:10:00,52058
10-15,21:20:00,50526
10-15,21:30:00,48630
10-15,21:40:00,47150
10-15,21:50:00,45848
10-15,22:00:00,44435
10-15,22:10:00,42948
10-15,22:20:00,41843
10-15,22:30:00,40616
10-15,22:40:00,39439
10-15,22:50:00,38508
10-15,23:00:00,37700
10-15,23:10:00,36780
10-15,23:20:00,35924
10-15,23:30:00,34986
10-15,23:40:00,34339
10-15,23:50:00,33797
10-16,00:00:00,33223
10-16,00:10:00,32351
10-16,00:20:00,32052
10-16,00:30:00,31665
10-16,00:40:00,31379
10-16,00:50:00,31107
10-16,01:00:00,30828
10-16,01:10:00,30454
10-16,01:20:00,29214
10-16,01:30:00,29748
10-16,01:40:00,29614
10-16,01:50:00,29413
10-16,02:00:00,29279
