date,time,players
09-30,06:00:00,20443
09-30,07:00:00,17160
09-30,08:00:00,15727
09-30,09:00:00,16386
09-30,10:00:00,17376
09-30,11:00:00,20335
09-30,12:00:00,23940
09-30,13:00:00,27379
09-30,14:00:00,30328
09-30,15:00:00,32674
09-30,16:00:00,36279
09-30,17:00:00,39948
09-30,18:00:00,43178
09-30,19:00:00,43141
09-30,20:00:00,42216
09-30,21:00:00,39692
09-30,22:00:00,38616
09-30,23:00:00,41970
10-01,00:00:00,44597
10-01,01:00:00,45016
10-01,02:00:00,43761
10-01,03:00:00,39558
10-01,04:00:00,32721
10-01,05:00:00,26522
10-01,06:00:00,21473
10-01,07:00:00,18323
10-01,08:00:00,17185
10-01,09:00:00,17342
10-01,10:00:00,18655
10-01,11:00:00,21702
10-01,12:00:00,25314
10-01,13:00:00,28809
10-01,14:00:00,31313
10-01,15:00:00,33743
10-01,16:00:00,34130
10-01,17:00:00,20547
10-01,18:00:00,27172
10-01,19:00:00,29456
10-01,20:00:00,29499
10-01,21:00:00,29241
10-01,22:00:00,29911
10-01,23:00:00,32409
10-02,00:00:00,35145
10-02,01:00:00,36308
10-02,02:00:00,36173
10-02,03:00:00,33871
10-02,04:00:00,29134
10-02,05:00:00,24621
10-02,06:00:00,20674
10-02,07:00:00,18251
10-02,08:00:00,17188
10-02,09:00:00,17579
10-02,10:00:00,18515
10-02,11:00:00,21031
10-02,12:00:00,23964
10-02,13:00:00,27698
10-02,14:00:00,31870
10-02,15:00:00,44905
10-02,16:00:00,73594
10-02,17:00:00,74698
10-02,18:00:00,72564
10-02,19:00:00,69697
10-02,20:00:00,66608
10-02,21:00:00,61863
10-02,22:00:00,57598
10-02,23:00:00,57199
10-03,00:00:00,58708
10-03,01:00:00,60055
10-03,02:00:00,59648
10-03,03:00:00,55897
10-03,04:00:00,48405
10-03,05:00:00,41851
10-03,06:00:00,36352
10-03,07:00:00,32902
10-03,08:00:00,31032
10-03,09:00:00,30389
10-03,10:00:00,33049
10-03,11:00:00,37519
10-03,12:00:00,42151
10-03,13:00:00,46376
10-03,14:00:00,48667
10-03,15:00:00,49968
10-03,16:00:00,57675
10-03,17:00:00,62826
10-03,18:00:00,63078
10-03,19:00:00,63197
10-03,20:00:00,62862
10-03,21:00:00,61019
10-03,22:00:00,57661
10-03,23:00:00,54689
10-04,00:00:00,56765
10-04,01:00:00,59868
10-04,02:00:00,60705
10-04,03:00:00,59998
10-04,04:00:00,54781
10-04,05:00:00,48344
10-04,06:00:00,41640
10-04,07:00:00,36698
10-04,08:00:00,34241
10-04,09:00:00,34040
10-04,10:00:00,35866
10-04,11:00:00,40922
10-04,12:00:00,46587
10-04,13:00:00,51232
10-04,14:00:00,54281
10-04,15:00:00,56097
10-04,16:00:00,56614
10-04,17:00:00,59705
10-04,18:00:00,63043
10-04,19:00:00,65444
10-04,20:00:00,66009
10-04,21:00:00,64532
10-04,22:00:00,60407
10-04,23:00:00,55427
10-05,00:00:00,52756
10-05,01:00:00,53915
10-05,02:00:00,54550
10-05,03:00:00,53990
10-05,04:00:00,50228
10-05,05:00:00,44620
10-05,06:00:00,40034
10-05,07:00:00,35417
10-05,08:00:00,32969
10-05,09:00:00,34346
10-05,10:00:00,36389
10-05,11:00:00,41329
10-05,12:00:00,46952
10-05,13:00:00,52680
10-05,14:00:00,57959
10-05,15:00:00,60728
10-05,16:00:00,67570
10-05,17:00:00,88997
10-05,18:00:00,98602
10-05,19:00:00,99574
10-05,20:00:00,97508
10-05,21:00:00,90613
10-05,22:00:00,82239
10-05,23:00:00,76819
10-06,00:00:00,75955
10-06,01:00:00,75343
10-06,02:00:00,72645
10-06,03:00:00,66088
10-06,04:00:00,56712
10-06,05:00:00,48618
10-06,06:00:00,42137
10-06,07:00:00,37810
