date,time,players
09-30,06:00:00,28191
09-30,07:00:00,27247
09-30,08:00:00,28330
09-30,09:00:00,29327
09-30,10:00:00,31953
09-30,11:00:00,35515
09-30,12:00:00,39177
09-30,13:00:00,42446
09-30,14:00:00,44147
09-30,15:00:00,44226
09-30,16:00:00,43526
09-30,17:00:00,41884
09-30,18:00:00,40475
09-30,19:00:00,39121
09-30,20:00:00,37661
09-30,21:00:00,34513
09-30,22:00:00,32077
09-30,23:00:00,30408
10-01,00:00:00,32868
10-01,01:00:00,34715
10-01,02:00:00,35135
10-01,03:00:00,34963
10-01,04:00:00,33086
10-01,05:00:00,31430
10-01,06:00:00,30406
10-01,07:00:00,30191
10-01,08:00:00,30580
10-01,09:00:00,30660
10-01,10:00:00,32518
10-01,11:00:00,35840
10-01,12:00:00,39386
10-01,13:00:00,42262
10-01,14:00:00,44124
10-01,15:00:00,46144
10-01,16:00:00,46038
10-01,17:00:00,45075
10-01,18:00:00,43677
10-01,19:00:00,42604
10-01,20:00:00,40540
10-01,21:00:00,37282
10-01,22:00:00,34281
10-01,23:00:00,32642
10-02,00:00:00,35357
10-02,01:00:00,37373
10-02,02:00:00,37921
10-02,03:00:00,37564
10-02,04:00:00,35126
10-02,05:00:00,33705
10-02,06:00:00,32483
10-02,07:00:00,32313
10-02,08:00:00,32571
10-02,09:00:00,32948
10-02,10:00:00,34240
10-02,11:00:00,37627
10-02,12:00:00,41278
10-02,13:00:00,44724
10-02,14:00:00,46112
10-02,15:00:00,45988
10-02,16:00:00,44706
10-02,17:00:00,43530
10-02,18:00:00,41995
10-02,19:00:00,40407
10-02,20:00:00,38523
10-02,21:00:00,35709
10-02,22:00:00,33088
10-02,23:00:00,31905
10-03,00:00:00,33911
10-03,01:00:00,35540
10-03,02:00:00,36005
10-03,03:00:00,35896
10-03,04:00:00,34143
10-03,05:00:00,32166
10-03,06:00:00,31048
10-03,07:00:00,31005
10-03,08:00:00,31796
10-03,09:00:00,32628
10-03,10:00:00,34466
10-03,11:00:00,38078
10-03,12:00:00,43327
10-03,13:00:00,49031
10-03,14:00:00,50824
10-03,15:00:00,50686
10-03,16:00:00,49690
10-03,17:00:00,47335
10-03,18:00:00,45324
10-03,19:00:00,43809
10-03,20:00:00,42234
10-03,21:00:00,40310
10-03,22:00:00,37696
10-03,23:00:00,35476
10-04,00:00:00,36393
10-04,01:00:00,38774
10-04,02:00:00,40260
10-04,03:00:00,40316
10-04,04:00:00,39057
10-04,05:00:00,37858
10-04,06:00:00,36876
10-04,07:00:00,36731
10-04,08:00:00,37882
10-04,09:00:00,38917
10-04,10:00:00,40647
10-04,11:00:00,44061
10-04,12:00:00,47946
10-04,13:00:00,51556
10-04,14:00:00,53469
10-04,15:00:00,53471
10-04,16:00:00,52264
10-04,17:00:00,50381
10-04,18:00:00,48257
10-04,19:00:00,47230
10-04,20:00:00,45552
10-04,21:00:00,43727
10-04,22:00:00,40527
10-04,23:00:00,37311
10-05,00:00:00,37136
10-05,01:00:00,38401
10-05,02:00:00,39776
10-05,03:00:00,39993
